nom,email,role,groupe
Gaston Martin,gaston.martin@example.com,delegue_suppleant,3ème 1;5ème 4;4ème 1
Lucie Lefevre,lucie.lefevre@example.com,delegue_suppleant,6ème 1
Albert Durand,albert.durand2@example.com,delegue_suppleant,5ème 2;3ème 2
Jules Schmitt,jules.schmitt@example.com,delegue_titulaire;membre,4ème 1
Berthe Durand,berthe.durand@example.com,delegue_suppleant;delegue_titulaire,4ème 2
Gilbert Noel,gilbert.noel@example.com,delegue_titulaire,5ème 1
Marguerite Denis,marguerite.denis@example.com,delegue_suppleant,6ème 4
Véronique Garnier,veronique.garnier@example.com,delegue_suppleant,3ème 1
Sophie Legrand,sophie.legrand@example.com,delegue_suppleant,4ème 3
Nathalie Noel,nathalie.noel@example.com,delegue_titulaire,3ème 3;6ème 2;5ème 2
Colette Dufour,colette.dufour2@example.com,delegue_suppleant;delegue_titulaire,5ème 3
Jacqueline Blanc,jacqueline.blanc@example.com,membre;delegue_suppleant,6ème 3
Lucie Girard,lucie.girard@example.com,membre,6ème 1
Marcelle Gauthier,marcelle.gauthier@example.com,delegue_suppleant,5ème 2
Nicole Morel,nicole.morel@example.com,delegue_suppleant,6ème 2
Jeanne Mathieu,jeanne.mathieu@example.com,delegue_suppleant,4ème 4
René Giraud,rene.giraud@example.com,delegue_titulaire,5ème 2;4ème 2
Thierry Gerard,thierry.gerard@example.com,delegue_suppleant,5ème 1
Raoul Bourgeois,raoul.bourgeois@example.com,delegue_titulaire,5ème 1
Yvette Lacroix,yvette.lacroix@example.com,delegue_suppleant,3ème 2
Juliette Bonnet,juliette.bonnet@example.com,delegue_suppleant,4ème 3
Nicolas Schmitt,nicolas.schmitt@example.com,membre,5ème 4
Marc Simon,marc.simon@example.com,membre,6ème 1
Raymond Blanc,raymond.blanc@example.com,delegue_titulaire;delegue_suppleant,3ème 4
Robert Clement,robert.clement@example.com,delegue_suppleant,4ème 2
Armand Lefevre,armand.lefevre@example.com,membre,5ème 4
Jean Martinez,jean.martinez@example.com,delegue_titulaire,4ème 1;6ème 1;4ème 3
Sandrine Barbier,sandrine.barbier@example.com,delegue_suppleant,4ème 2
Lucien Leclerc,lucien.leclerc@example.com,delegue_suppleant,5ème 1
François Sanchez,françois.sanchez@example.com,membre;delegue_suppleant,4ème 2
Pierre Lemaire,pierre.lemaire@example.com,membre,4ème 1
Jeannine Dupuis,jeannine.dupuis2@example.com,membre;delegue_suppleant,4ème 1
Nicole Clement,nicole.clement@example.com,membre,4ème 2
Germaine Bernard,germaine.bernard@example.com,delegue_titulaire,5ème 4
Christophe Dupont,christophe.dupont@example.com,delegue_suppleant,3ème 1
Raymond Renaud,raymond.renaud@example.com,delegue_suppleant,6ème 1
Claire Denis,claire.denis@example.com,membre,4ème 3
Yves Lefebvre,yves.lefebvre@example.com,delegue_suppleant,3ème 2
Renée Bertrand,renee.bertrand@example.com,membre,6ème 2
Marguerite Laurent,marguerite.laurent@example.com,membre,5ème 2
Cécile André,cecile.andré@example.com,membre,4ème 2
Anne Richard,anne.richard@example.com,delegue_suppleant,6ème 3
Claire Leroux,claire.leroux@example.com,delegue_titulaire,5ème 3;6ème 1;3ème 1
Christine Marchand,christine.marchand@example.com,membre,5ème 1
Raymond Meunier,raymond.meunier@example.com,delegue_suppleant,5ème 4
Raymond Durand,raymond.durand@example.com,delegue_suppleant,5ème 4
Paulette Simon,paulette.simon@example.com,membre,4ème 1
François Gerard,françois.gerard@example.com,delegue_suppleant,5ème 4
Maurice Lambert,maurice.lambert@example.com,membre,5ème 1
Marc Roche,marc.roche@example.com,delegue_titulaire,6ème 1
Suzanne Da Silva,suzanne.da silva@example.com,delegue_suppleant,6ème 4
Pascal Fabre,pascal.fabre@example.com,delegue_suppleant,6ème 1
Marthe Richard,marthe.richard@example.com,delegue_titulaire,5ème 4
Gaston Renaud,gaston.renaud@example.com,delegue_titulaire,5ème 2
Thierry Legrand,thierry.legrand@example.com,delegue_suppleant,4ème 1
Alphonse Dubois,alphonse.dubois@example.com,delegue_titulaire,5ème 4
Josiane Garnier,josiane.garnier@example.com,delegue_suppleant,4ème 4
Catherine Richard,catherine.richard@example.com,membre,3ème 3
Colette Pierre,colette.pierre@example.com,membre,4ème 2
Stéphane Morel,stephane.morel@example.com,delegue_titulaire,4ème 4
Dominique Lucas,dominique.lucas@example.com,membre,4ème 3
Thierry Philippe,thierry.philippe@example.com,membre,5ème 3
Hélène Guerin,helene.guerin@example.com,delegue_titulaire,5ème 1
Yvonne Martin,yvonne.martin@example.com,membre,4ème 1
Ernest Fernandez,ernest.fernandez@example.com,delegue_titulaire,5ème 1
Paulette Pierre,paulette.pierre@example.com,delegue_suppleant,6ème 2
Marthe Robin,marthe.robin@example.com,delegue_titulaire,4ème 4
Françoise Fabre,françoise.fabre@example.com,delegue_titulaire,3ème 4
Thomas Bonnet,thomas.bonnet@example.com,delegue_titulaire,3ème 3
Marthe Pierre,marthe.pierre@example.com,membre;delegue_titulaire,3ème 1
Laurence Jean,laurence.jean@example.com,membre,6ème 3
Chantal Roux,chantal.roux@example.com,delegue_titulaire,6ème 4
Jacques Robin,jacques.robin@example.com,membre,6ème 2
Marcelle Colin,marcelle.colin@example.com,delegue_suppleant,3ème 3
Nicole Robin,nicole.robin@example.com,delegue_titulaire,6ème 4
Thierry Thomas,thierry.thomas@example.com,delegue_titulaire;delegue_suppleant,3ème 4
Denise Dubois,denise.dubois@example.com,membre,6ème 2;4ème 1
Robert Lucas,robert.lucas@example.com,delegue_suppleant,3ème 3
Gaston Gautier,gaston.gautier@example.com,delegue_suppleant;membre,4ème 2
Yvonne Petit,yvonne.petit@example.com,membre,6ème 1
Thomas Nicolas,thomas.nicolas@example.com,delegue_suppleant,4ème 3
Lucie Lemaire,lucie.lemaire@example.com,delegue_suppleant,5ème 1
Josiane Dufour,josiane.dufour@example.com,delegue_titulaire,6ème 3
Gilbert Lefebvre,gilbert.lefebvre@example.com,delegue_suppleant,4ème 3
Robert Mercier,robert.mercier@example.com,delegue_suppleant;membre,4ème 4
Eugène Colin,eugene.colin@example.com,delegue_titulaire,3ème 4
Lucie Fernandez,lucie.fernandez@example.com,delegue_titulaire,4ème 3
Andrée Fernandez,andree.fernandez@example.com,membre,5ème 2
Véronique Marie,veronique.marie@example.com,delegue_titulaire,3ème 4
Luc Muller,luc.muller@example.com,delegue_titulaire;membre,4ème 3
Anne Lemoine,anne.lemoine@example.com,membre,4ème 4
Gilbert Rolland,gilbert.rolland@example.com,membre,3ème 4
Lucienne Leroux,lucienne.leroux@example.com,delegue_titulaire,4ème 1
Agnès Masson,agnes.masson@example.com,delegue_suppleant,4ème 4
Colette Dubois,colette.dubois@example.com,delegue_suppleant;membre,3ème 1
Martine Barbier,martine.barbier@example.com,delegue_titulaire,5ème 4
Jacques Marie,jacques.marie@example.com,membre,4ème 4
Fernand Perrin,fernand.perrin@example.com,delegue_titulaire,6ème 3
Martine Da Silva,martine.da silva@example.com,delegue_titulaire,4ème 1
Céline Arnaud,celine.arnaud@example.com,delegue_titulaire,6ème 2
Luc Roger,luc.roger@example.com,membre,3ème 4;4ème 3
